ticker,sector,model,fold,metric,score
XLP,Consumer Staples,Market + news sentiment model,2023,auc_roc,0.49375360369017873
XLP,Consumer Staples,Market + news sentiment model,2023,f1,0.6703601108033241
XLP,Consumer Staples,Market + news sentiment model,2023,directional_accuracy,0.524
XLP,Consumer Staples,Always-up reference,2023,auc_roc,0.5
XLP,Consumer Staples,Always-up reference,2023,f1,0.6807387862796834
XLP,Consumer Staples,Always-up reference,2023,directional_accuracy,0.516
XLP,Consumer Staples,Market-only model,2024,auc_roc,0.5065926439972241
XLP,Consumer Staples,Market-only model,2024,f1,0.6824146981627297
XLP,Consumer Staples,Market-only model,2024,directional_accuracy,0.5198412698412699
XLP,Consumer Staples,Market + news sentiment model,2024,auc_roc,0.47044350514163147
XLP,Consumer Staples,Market + news sentiment model,2024,f1,0.6702412868632708
XLP,Consumer Staples,Market + news sentiment model,2024,directional_accuracy,0.5119047619047619
XLP,Consumer Staples,Always-up reference,2024,auc_roc,0.5
XLP,Consumer Staples,Always-up reference,2024,f1,0.6840731070496083
XLP,Consumer Staples,Always-up reference,2024,directional_accuracy,0.5198412698412699
XLP,Consumer Staples,Market-only model,2025,auc_roc,0.549741935483871
XLP,Consumer Staples,Market-only model,2025,f1,0.6539509536784741
XLP,Consumer Staples,Market-only model,2025,directional_accuracy,0.4899598393574297
XLP,Consumer Staples,Market + news sentiment model,2025,auc_roc,0.5776774193548387
XLP,Consumer Staples,Market + news sentiment model,2025,f1,0.6574585635359116
XLP,Consumer Staples,Market + news sentiment model,2025,directional_accuracy,0.5020080321285141
XLP,Consumer Staples,Always-up reference,2025,auc_roc,0.5
XLP,Consumer Staples,Always-up reference,2025,f1,0.6648793565683646
XLP,Consumer Staples,Always-up reference,2025,directional_accuracy,0.4979919678714859
XLE,Energy,Market-only model,2022,auc_roc,0.5687307297019527
XLE,Energy,Market-only model,2022,f1,0.5985401459854015
XLE,Energy,Market-only model,2022,directional_accuracy,0.5617529880478087
XLE,Energy,Market + news sentiment model,2022,auc_roc,0.5817060637204522
XLE,Energy,Market + news sentiment model,2022,f1,0.6476868327402135
XLE,Energy,Market + news sentiment model,2022,directional_accuracy,0.6055776892430279
XLE,Energy,Always-up reference,2022,auc_roc,0.5
XLE,Energy,Always-up reference,2022,f1,0.7128205128205128
XLE,Energy,Always-up reference,2022,directional_accuracy,0.5537848605577689
XLE,Energy,Market-only model,2023,auc_roc,0.4714946070878274
XLE,Energy,Market-only model,2023,f1,0.31868131868131866
XLE,Energy,Market-only model,2023,directional_accuracy,0.504
XLE,Energy,Market + news sentiment model,2023,auc_roc,0.4812532100667694
XLE,Energy,Market + news sentiment model,2023,f1,0.3944954128440367
XLE,Energy,Market + news sentiment model,2023,directional_accuracy,0.472
XLE,Energy,Always-up reference,2023,auc_roc,0.5
XLE,Energy,Always-up reference,2023,f1,0.6910994764397905
XLE,Energy,Always-up reference,2023,directional_accuracy,0.528
XLE,Energy,Market-only model,2024,auc_roc,0.4939613526570048
XLE,Energy,Market-only model,2024,f1,0.40350877192982454
XLE,Energy,Market-only model,2024,directional_accuracy,0.4603174603174603
XLE,Energy,Market + news sentiment model,2024,auc_roc,0.4795957284515637
XLE,Energy,Market + news sentiment model,2024,f1,0.5733788395904437
XLE,Energy,Market + news sentiment model,2024,directional_accuracy,0.503968253968254
XLE,Energy,Always-up reference,2024,auc_roc,0.5
XLE,Energy,Always-up reference,2024,f1,0.7076923076923077
